# Source: NUDEC_BSM v2 (https://github.com/MiguelEA/nudec_BSM/tree/v2)
# Escudero, Jackson, Laine, Sandner, arXiv:2511.04747 (2025)
# me = 0.51099895 MeV, alpha = 1/137.035999084
# T (MeV)           P_int (e^4) [MeV^4]
2.568252E+01        -5.477618E+00
2.565945E+01        -5.456921E+00
2.563640E+01        -5.436413E+00
2.561337E+01        -5.415915E+00
2.559036E+01        -5.395511E+00
2.556737E+01        -5.375206E+00
2.554441E+01        -5.355010E+00
2.552146E+01        -5.334809E+00
2.549853E+01        -5.314798E+00
2.547563E+01        -5.294805E+00
2.545274E+01        -5.274803E+00
2.542988E+01        -5.254999E+00
2.540703E+01        -5.235196E+00
2.538421E+01        -5.215496E+00
2.536141E+01        -5.195800E+00
2.533862E+01        -5.176286E+00
2.531586E+01        -5.156789E+00
2.529312E+01        -5.137388E+00
2.527040E+01        -5.117991E+00
2.524770E+01        -5.098783E+00
2.522502E+01        -5.079585E+00
2.520236E+01        -5.060482E+00
2.517972E+01        -5.041384E+00
2.515710E+01        -5.022380E+00
2.513450E+01        -5.003476E+00
2.511192E+01        -4.984672E+00
2.508936E+01        -4.965872E+00
2.506682E+01        -4.947167E+00
2.504431E+01        -4.928571E+00
2.502181E+01        -4.909971E+00
2.499933E+01        -4.891465E+00
2.497687E+01        -4.873059E+00
2.495444E+01        -4.854762E+00
2.493202E+01        -4.836461E+00
2.490962E+01        -4.818255E+00
2.488725E+01        -4.800063E+00
2.486489E+01        -4.782051E+00
2.484255E+01        -4.764050E+00
2.482024E+01        -4.746057E+00
2.479794E+01        -4.728151E+00
2.477566E+01        -4.710439E+00
2.475341E+01        -4.692651E+00
2.473117E+01        -4.674945E+00
2.470895E+01        -4.657338E+00
2.468676E+01        -4.639840E+00
2.466458E+01        -4.622339E+00
2.464242E+01        -4.604932E+00
2.462029E+01        -4.587634E+00
2.459817E+01        -4.570333E+00
2.457607E+01        -4.553127E+00
2.455400E+01        -4.536029E+00
2.453194E+01        -4.518928E+00
2.450990E+01        -4.501828E+00
2.448789E+01        -4.484925E+00
2.446589E+01        -4.468025E+00
2.444391E+01        -4.451220E+00
2.442195E+01        -4.434420E+00
2.440001E+01        -4.417715E+00
2.437809E+01        -4.401111E+00
2.435619E+01        -4.384512E+00
2.433431E+01        -4.368008E+00
2.431245E+01        -4.351509E+00
2.429061E+01        -4.335200E+00
2.426879E+01        -4.318808E+00
2.424699E+01        -4.302599E+00
2.422521E+01        -4.286402E+00
2.420345E+01        -4.270205E+00
2.418171E+01        -4.254102E+00
2.415998E+01        -4.238093E+00
2.413828E+01        -4.222191E+00
2.411660E+01        -4.206296E+00
2.409493E+01        -4.190393E+00
2.407329E+01        -4.174593E+00
2.405166E+01        -4.158885E+00
2.403006E+01        -4.143191E+00
2.400847E+01        -4.127585E+00
2.398690E+01        -4.112079E+00
2.396535E+01        -4.096579E+00
2.394383E+01        -4.081180E+00
2.392232E+01        -4.065781E+00
2.390083E+01        -4.050477E+00
2.387936E+01        -4.035179E+00
2.385791E+01        -4.019976E+00
2.383647E+01        -4.004866E+00
2.381506E+01        -3.989769E+00
2.379367E+01        -3.974767E+00
2.377229E+01        -3.959765E+00
2.375094E+01        -3.944864E+00
2.372960E+01        -3.929962E+00
2.370829E+01        -3.915163E+00
2.368699E+01        -3.900457E+00
2.366571E+01        -3.885757E+00
2.364445E+01        -3.871058E+00
2.362321E+01        -3.856454E+00
2.360199E+01        -3.841950E+00
2.358079E+01        -3.827453E+00
2.355960E+01        -3.813044E+00
2.353844E+01        -3.798742E+00
2.351730E+01        -3.784353E+00
2.349617E+01        -3.770140E+00
2.347506E+01        -3.755939E+00
2.345397E+01        -3.741739E+00
2.343291E+01        -3.727735E+00
2.341186E+01        -3.713642E+00
2.339082E+01        -3.699632E+00
2.336981E+01        -3.685729E+00
2.334882E+01        -3.671832E+00
2.332784E+01        -3.658024E+00
2.330689E+01        -3.644229E+00
2.328595E+01        -3.630429E+00
2.326503E+01        -3.616817E+00
2.324413E+01        -3.603124E+00
2.322325E+01        -3.589614E+00
2.320239E+01        -3.576022E+00
2.318155E+01        -3.562613E+00
2.316072E+01        -3.549117E+00
2.313992E+01        -3.535810E+00
2.311913E+01        -3.522415E+00
2.309836E+01        -3.509204E+00
2.307761E+01        -3.496005E+00
2.305688E+01        -3.482807E+00
2.303617E+01        -3.469703E+00
2.301548E+01        -3.456607E+00
2.299480E+01        -3.443599E+00
2.297414E+01        -3.430598E+00
2.295351E+01        -3.417698E+00
2.293289E+01        -3.404799E+00
2.291229E+01        -3.391901E+00
2.289170E+01        -3.379185E+00
2.287114E+01        -3.366395E+00
2.285059E+01        -3.353688E+00
2.283007E+01        -3.341087E+00
2.280956E+01        -3.328487E+00
2.278907E+01        -3.315983E+00
2.276860E+01        -3.303485E+00
2.274814E+01        -3.290982E+00
2.272771E+01        -3.278580E+00
2.270729E+01        -3.266273E+00
2.268689E+01        -3.253973E+00
2.266651E+01        -3.241674E+00
2.264615E+01        -3.229470E+00
2.262581E+01        -3.217274E+00
2.260548E+01        -3.205166E+00
2.258518E+01        -3.193071E+00
2.256489E+01        -3.181065E+00
2.254462E+01        -3.169066E+00
2.252436E+01        -3.157063E+00
2.250413E+01        -3.145160E+00
2.248391E+01        -3.133352E+00
2.246372E+01        -3.121558E+00
2.244354E+01        -3.109759E+00
2.242338E+01        -3.098055E+00
2.240323E+01        -3.086352E+00
2.238311E+01        -3.074750E+00
2.236300E+01        -3.063149E+00
2.234291E+01        -3.051643E+00
2.232284E+01        -3.040145E+00
2.230279E+01        -3.028648E+00
2.228275E+01        -3.017240E+00
2.226274E+01        -3.005845E+00
2.224274E+01        -2.994539E+00
2.222276E+01        -2.983240E+00
2.220279E+01        -2.971938E+00
2.218285E+01        -2.960735E+00
2.216292E+01        -2.949628E+00
2.214301E+01        -2.938529E+00
2.212312E+01        -2.927431E+00
2.210325E+01        -2.916334E+00
2.208339E+01        -2.905419E+00
2.206355E+01        -2.894426E+00
2.204373E+01        -2.883520E+00
2.202393E+01        -2.872623E+00
2.200415E+01        -2.861819E+00
2.198438E+01        -2.851019E+00
2.196463E+01        -2.840313E+00
2.194490E+01        -2.829614E+00
2.192519E+01        -2.818917E+00
2.190549E+01        -2.808309E+00
2.188581E+01        -2.797709E+00
2.186615E+01        -2.787110E+00
2.184651E+01        -2.776606E+00
2.182688E+01        -2.766105E+00
2.180728E+01        -2.755703E+00
2.178769E+01        -2.745304E+00
2.176811E+01        -2.734994E+00
2.174856E+01        -2.724698E+00
2.172902E+01        -2.714397E+00
2.170950E+01        -2.704191E+00
2.169000E+01        -2.693993E+00
2.167052E+01        -2.683796E+00
2.165105E+01        -2.673689E+00
2.163160E+01        -2.663590E+00
2.161217E+01        -2.653585E+00
2.159275E+01        -2.643583E+00
2.157336E+01        -2.633588E+00
2.155398E+01        -2.623682E+00
2.153461E+01        -2.613779E+00
2.151527E+01        -2.603882E+00
2.149594E+01        -2.594075E+00
2.147663E+01        -2.584276E+00
2.145734E+01        -2.574572E+00
2.143806E+01        -2.564870E+00
2.141881E+01        -2.555175E+00
2.139956E+01        -2.545565E+00
2.138034E+01        -2.535968E+00
2.136113E+01        -2.526367E+00
2.134195E+01        -2.516865E+00
2.132277E+01        -2.507362E+00
2.130362E+01        -2.497865E+00
2.128448E+01        -2.488458E+00
2.126536E+01        -2.479059E+00
2.124626E+01        -2.469754E+00
2.122717E+01        -2.460453E+00
2.120810E+01        -2.451154E+00
2.118905E+01        -2.441855E+00
2.117002E+01        -2.432651E+00
2.115100E+01        -2.423544E+00
2.113200E+01        -2.414352E+00
2.111302E+01        -2.405247E+00
2.109405E+01        -2.396239E+00
2.107510E+01        -2.387147E+00
2.105617E+01        -2.378142E+00
2.103725E+01        -2.369140E+00
2.101836E+01        -2.360238E+00
2.099948E+01        -2.351339E+00
2.098061E+01        -2.342437E+00
2.096176E+01        -2.333630E+00
2.094293E+01        -2.324831E+00
2.092412E+01        -2.316033E+00
2.090532E+01        -2.307325E+00
2.088654E+01        -2.298626E+00
2.086778E+01        -2.289928E+00
2.084904E+01        -2.281325E+00
2.083031E+01        -2.272725E+00
2.081159E+01        -2.264122E+00
2.079290E+01        -2.255618E+00
2.077422E+01        -2.247118E+00
2.075556E+01        -2.238620E+00
2.073691E+01        -2.230119E+00
2.071829E+01        -2.221716E+00
2.069967E+01        -2.213406E+00
2.068108E+01        -2.205016E+00
2.066250E+01        -2.196709E+00
2.064394E+01        -2.188410E+00
2.062539E+01        -2.180109E+00
2.060687E+01        -2.171906E+00
2.058835E+01        -2.163703E+00
2.056986E+01        -2.155598E+00
2.055138E+01        -2.147406E+00
2.053292E+01        -2.139300E+00
2.051447E+01        -2.131291E+00
2.049605E+01        -2.123203E+00
2.047763E+01        -2.115193E+00
2.045924E+01        -2.107196E+00
2.044086E+01        -2.099289E+00
2.042250E+01        -2.091391E+00
2.040415E+01        -2.083490E+00
2.038582E+01        -2.075590E+00
2.036751E+01        -2.067785E+00
2.034921E+01        -2.059984E+00
2.033093E+01        -2.052185E+00
2.031267E+01        -2.044480E+00
2.029442E+01        -2.036779E+00
2.027619E+01        -2.029080E+00
2.025798E+01        -2.021383E+00
2.023978E+01        -2.013775E+00
2.022160E+01        -2.006177E+00
2.020343E+01        -1.998576E+00
2.018528E+01        -1.991069E+00
2.016715E+01        -1.983570E+00
2.014903E+01        -1.976070E+00
2.013093E+01        -1.968571E+00
2.011285E+01        -1.961165E+00
2.009478E+01        -1.953765E+00
2.007673E+01        -1.946366E+00
2.005870E+01        -1.939062E+00
2.004068E+01        -1.931762E+00
2.002267E+01        -1.924460E+00
2.000469E+01        -1.917163E+00
1.998672E+01        -1.909956E+00
1.996876E+01        -1.902755E+00
1.995082E+01        -1.895555E+00
1.993290E+01        -1.888449E+00
1.991500E+01        -1.881260E+00
1.989711E+01        -1.874153E+00
