# Source: NUDEC_BSM v2 (https://github.com/MiguelEA/nudec_BSM/tree/v2)
# Escudero, Jackson, Laine, Sandner, arXiv:2511.04747 (2025)
# me = 0.51099895 MeV, alpha = 1/137.035999084
# T (MeV)           dP_int/dT (e^4) [MeV^3]
2.759703E+01        -1.125436E+00
2.757224E+01        -1.122232E+00
2.754747E+01        -1.119032E+00
2.752273E+01        -1.115833E+00
2.749800E+01        -1.112633E+00
2.747330E+01        -1.109434E+00
2.744862E+01        -1.106330E+00
2.742396E+01        -1.103134E+00
2.739933E+01        -1.100031E+00
2.737471E+01        -1.096834E+00
2.735012E+01        -1.093731E+00
2.732555E+01        -1.090535E+00
2.730101E+01        -1.087432E+00
2.727648E+01        -1.084332E+00
2.725198E+01        -1.081232E+00
2.722750E+01        -1.078133E+00
2.720304E+01        -1.075129E+00
2.717860E+01        -1.072033E+00
2.715419E+01        -1.068934E+00
2.712979E+01        -1.065929E+00
2.710542E+01        -1.062834E+00
2.708107E+01        -1.059830E+00
2.705675E+01        -1.056831E+00
2.703244E+01        -1.053735E+00
2.700816E+01        -1.050731E+00
2.698390E+01        -1.047732E+00
2.695966E+01        -1.044732E+00
2.693544E+01        -1.041732E+00
2.691124E+01        -1.038828E+00
2.688707E+01        -1.035833E+00
2.686291E+01        -1.032832E+00
2.683878E+01        -1.029928E+00
2.681467E+01        -1.026933E+00
2.679058E+01        -1.024029E+00
2.676652E+01        -1.021130E+00
2.674247E+01        -1.018134E+00
2.671845E+01        -1.015230E+00
2.669445E+01        -1.012331E+00
2.667047E+01        -1.009431E+00
2.664651E+01        -1.006626E+00
2.662257E+01        -1.003731E+00
2.659866E+01        -1.000832E+00
2.657476E+01        -9.979696E-01
2.655089E+01        -9.951198E-01
2.652704E+01        -9.922702E-01
2.650321E+01        -9.894300E-01
2.647940E+01        -9.865996E-01
2.645561E+01        -9.837790E-01
2.643185E+01        -9.809695E-01
2.640810E+01        -9.781686E-01
2.638438E+01        -9.753692E-01
2.636068E+01        -9.725792E-01
2.633700E+01        -9.697991E-01
2.631334E+01        -9.670288E-01
2.628970E+01        -9.642588E-01
2.626609E+01        -9.614993E-01
2.624249E+01        -9.587486E-01
2.621892E+01        -9.560089E-01
2.619536E+01        -9.532778E-01
2.617183E+01        -9.505483E-01
2.614832E+01        -9.478377E-01
2.612483E+01        -9.451184E-01
2.610136E+01        -9.424175E-01
2.607792E+01        -9.397282E-01
2.605449E+01        -9.370380E-01
2.603109E+01        -9.343584E-01
2.600770E+01        -9.316875E-01
2.598434E+01        -9.290181E-01
2.596100E+01        -9.263677E-01
2.593768E+01        -9.237181E-01
2.591438E+01        -9.210779E-01
2.589110E+01        -9.184380E-01
2.586784E+01        -9.158076E-01
2.584460E+01        -9.131967E-01
2.582138E+01        -9.105770E-01
2.579819E+01        -9.079770E-01
2.577501E+01        -9.053766E-01
2.575186E+01        -9.027869E-01
2.572873E+01        -9.002070E-01
2.570561E+01        -8.976359E-01
2.568252E+01        -8.950664E-01
2.565945E+01        -8.925063E-01
2.563640E+01        -8.899561E-01
2.561337E+01        -8.874063E-01
2.559036E+01        -8.848659E-01
2.556737E+01        -8.823355E-01
2.554441E+01        -8.798161E-01
2.552146E+01        -8.772960E-01
2.549853E+01        -8.747853E-01
2.547563E+01        -8.722857E-01
2.545274E+01        -8.697949E-01
2.542988E+01        -8.673057E-01
2.540703E+01        -8.648248E-01
2.538421E+01        -8.623454E-01
2.536141E+01        -8.598850E-01
2.533862E+01        -8.574244E-01
2.531586E+01        -8.549649E-01
2.529312E+01        -8.525243E-01
2.527040E+01        -8.500847E-01
2.524770E+01        -8.476545E-01
2.522502E+01        -8.452248E-01
2.520236E+01        -8.428045E-01
2.517972E+01        -8.403942E-01
2.515710E+01        -8.379938E-01
2.513450E+01        -8.355940E-01
2.511192E+01        -8.332036E-01
2.508936E+01        -8.308231E-01
2.506682E+01        -8.284432E-01
2.504431E+01        -8.260737E-01
2.502181E+01        -8.237132E-01
2.499933E+01        -8.213532E-01
2.497687E+01        -8.190026E-01
2.495444E+01        -8.166631E-01
2.493202E+01        -8.143230E-01
2.490962E+01        -8.119923E-01
2.488725E+01        -8.096727E-01
2.486489E+01        -8.073526E-01
2.484255E+01        -8.050420E-01
2.482024E+01        -8.027423E-01
2.479794E+01        -8.004422E-01
