# Source: NUDEC_BSM v2 (https://github.com/MiguelEA/nudec_BSM/tree/v2)
# Escudero, Jackson, Laine, Sandner, arXiv:2511.04747 (2025)
# me = 0.51099895 MeV, alpha = 1/137.035999084
# T (MeV)           d^2P_int/dT^2 (e^4) [MeV^2]
2.568252E+01        -1.110708E-01
2.565945E+01        -1.108604E-01
2.563640E+01        -1.106409E-01
2.561337E+01        -1.104209E-01
2.559036E+01        -1.102104E-01
2.556737E+01        -1.099909E-01
2.554441E+01        -1.097805E-01
2.552146E+01        -1.095610E-01
2.549853E+01        -1.093505E-01
2.547563E+01        -1.091406E-01
2.545274E+01        -1.089210E-01
2.542988E+01        -1.087106E-01
2.540703E+01        -1.085006E-01
2.538421E+01        -1.082906E-01
2.536141E+01        -1.080712E-01
2.533862E+01        -1.078606E-01
2.531586E+01        -1.076507E-01
2.529312E+01        -1.074407E-01
2.527040E+01        -1.072307E-01
2.524770E+01        -1.070208E-01
2.522502E+01        -1.068108E-01
2.520236E+01        -1.066008E-01
2.517972E+01        -1.064003E-01
2.515710E+01        -1.061908E-01
2.513450E+01        -1.059809E-01
2.511192E+01        -1.057709E-01
2.508936E+01        -1.055704E-01
2.506682E+01        -1.053609E-01
2.504431E+01        -1.051604E-01
2.502181E+01        -1.049510E-01
2.499933E+01        -1.047410E-01
2.497687E+01        -1.045404E-01
2.495444E+01        -1.043405E-01
2.493202E+01        -1.041310E-01
2.490962E+01        -1.039305E-01
2.488725E+01        -1.037306E-01
2.486489E+01        -1.035211E-01
2.484255E+01        -1.033206E-01
2.482024E+01        -1.031206E-01
2.479794E+01        -1.029206E-01
2.477566E+01        -1.027206E-01
2.475341E+01        -1.025112E-01
2.473117E+01        -1.023107E-01
2.470895E+01        -1.021107E-01
2.468676E+01        -1.019107E-01
2.466458E+01        -1.017202E-01
2.464242E+01        -1.015207E-01
2.462029E+01        -1.013208E-01
2.459817E+01        -1.011208E-01
2.457607E+01        -1.009208E-01
2.455400E+01        -1.007209E-01
2.453194E+01        -1.005303E-01
2.450990E+01        -1.003309E-01
2.448789E+01        -1.001404E-01
2.446589E+01        -9.994096E-02
2.444391E+01        -9.974568E-02
2.442195E+01        -9.955069E-02
2.440001E+01        -9.935570E-02
2.437809E+01        -9.916165E-02
2.435619E+01        -9.896766E-02
2.433431E+01        -9.877368E-02
2.431245E+01        -9.858064E-02
2.429061E+01        -9.838861E-02
2.426879E+01        -9.819569E-02
2.424699E+01        -9.800366E-02
2.422521E+01        -9.781169E-02
2.420345E+01        -9.762067E-02
2.418171E+01        -9.742971E-02
2.415998E+01        -9.723961E-02
2.413828E+01        -9.704966E-02
2.411660E+01        -9.685971E-02
2.409493E+01        -9.667063E-02
2.407329E+01        -9.648169E-02
2.405166E+01        -9.629267E-02
2.403006E+01        -9.610468E-02
2.400847E+01        -9.591667E-02
2.398690E+01        -9.572866E-02
2.396535E+01        -9.554161E-02
2.394383E+01        -9.535470E-02
2.392232E+01        -9.516865E-02
2.390083E+01        -9.498267E-02
2.387936E+01        -9.479669E-02
2.385791E+01        -9.461072E-02
2.383647E+01        -9.442561E-02
2.381506E+01        -9.424160E-02
2.379367E+01        -9.405670E-02
2.377229E+01        -9.387261E-02
2.375094E+01        -9.368962E-02
2.372960E+01        -9.350566E-02
2.370829E+01        -9.332362E-02
2.368699E+01        -9.314067E-02
2.366571E+01        -9.295862E-02
2.364445E+01        -9.277663E-02
2.362321E+01        -9.259559E-02
2.360199E+01        -9.241368E-02
2.358079E+01        -9.223360E-02
